accDefRate,accExamCnt,accExamCompCnt,careCnt,clearCnt,createDt,deathCnt,decideCnt,examCnt,resutlNegCnt,seq,stateDt,stateTime,updateDt
,,,,4,2020-02-12 10:05:49.49,0,28,992,,21,20200212,09:00,
,,,,4,2020-02-11 17:09:25.25,0,28,762,,20,20200211,16:00,
,,,,4,2020-02-11 9:50:10.10,0,28,865,,19,20200211,09:00,
,,,,3,2020-02-10 17:03:49.49,0,27,531,,18,20200210,16:00,2020-02-10 19:04:27.27
,,,,3,2020-02-10 9:56:41.41,0,27,809,,17,20200210,09:00,
,,,,3,2020-02-09 16:59:21.21,0,27,888,,16,20200209,16:00,
,,,,3,2020-02-09 9:58:22.22,0,25,960,,15,20200209,09:00,2020-02-09 11:08:56.56
,,,,2,2020-02-08 17:01:34.34,0,24,939,,14,20200208,16:00,
,,,,2,2020-02-08 17:01:12.12,0,24,939,,13,20200208,16:00,
,,,,2,2020-02-08 16:48:05.05,0,24,939,,12,20200208,16:00,
,,,,2,2020-02-08 16:00:22.22,0,24,939,,11,20200208,16:00,
,,,,2,2020-02-08 10:09:34.34,0,24,620,,10,20200208,09:00,
,,,,2,2020-02-07 17:20:45.45,0,24,327,,9,20200207,16:00,
,,,,2,2020-02-07 9:53:27.27,0,24,264,,8,20200207,09:00,2020-02-07 11:44:30.30
,,,,1,2020-02-06 9:09:49.49,0,23,169,,7,20200206,09:00,2020-02-06 10:04:35.35
,,,,1,2020-02-05 20:05:40.40,0,19,40,,6,20200205,19:00,2020-02-06 10:05:36.36
,,,,0,2020-02-04 23:56:31.31,0,18,129,,5,20200205,09:00,2020-02-05 9:43:16.16
,,,,0,2020-02-03 21:26:59.59,0,0,0,,4,20200204,00:00,
,,,,0,2020-02-03 14:41:17.17,0,15,0,,3,20200203,09:00,2020-02-04 14:19:46.46
,,,,2,2020-02-03 12:22:49.49,2,2,2,,2,20200202,09:00,
,,,,1,2020-01-31 17:47:33.33,0,0,1,,1,20200101,18:00,2020-02-03 12:21:56.56
