"		지점번호",지점명,일시,평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),"	최대풍속시각",최대순간풍속(m/s),최대순간풍속풍향(deg),"	최대순간풍속시각"
"		108",서울,2020-09-22,2.8,4.6,50,21:38,9.2,110,21:02
"		108",서울,2020-09-23,3.3,5.3,50,13:44,9.5,50,17:07
"		108",서울,2020-09-24,3.7,5.7,50,12:36,10.8,20,12:23
"		108",서울,2020-09-25,2.5,4.9,50,15:18,8.4,50,15:53
"		108",서울,2020-09-26,2.4,6.2,50,16:19,10.5,20,16:17
"		108",서울,2020-09-27,2,3.9,320,18:08,5.6,320,18:04
"		108",서울,2020-09-28,2,3.6,270,17:04,6.1,250,14:54
"		108",서울,2020-09-29,1.9,4.3,290,12:16,6.8,250,11:48
"		108",서울,2020-09-30,1.7,4.1,250,18:48,6,250,18:49
"		108",서울,2020-10-01,2.1,4.7,230,17:05,8.7,200,17:14
"		108",서울,2020-10-02,2.3,5.2,180,10:34,9.7,180,10:30
"		108",서울,2020-10-03,1.6,3.6,270,15:22,5.6,270,15:18
"		108",서울,2020-10-04,2.8,7.2,320,18:03,13.7,320,18:02
"		108",서울,2020-10-05,2.5,5.1,290,13:52,10,320,15:24
"		108",서울,2020-10-06,2,4.1,290,11:14,7.8,250,11:24
"		108",서울,2020-10-07,1.9,3.4,50,13:59,7.1,160,13:50
"		108",서울,2020-10-08,3.1,5.4,50,17:29,9.7,50,17:23
"		108",서울,2020-10-09,3,5.2,50,15:18,9.5,110,12:40
"		108",서울,2020-10-10,2,3.8,20,11:16,6.8,110,9:20
"		108",서울,2020-10-11,1.8,4.1,50,2:44,6.6,50,2:38
"		108",서울,2020-10-12,2.2,4.6,250,15:44,7.5,200,15:23
"		108",서울,2020-10-13,2.2,4.7,270,13:19,8,320,13:15
"		108",서울,2020-10-14,2.4,5.8,270,15:00,9.4,250,14:13
"		108",서울,2020-10-15,1.5,3.7,270,0:47,5.5,290,0:39
"		108",서울,2020-10-16,1.5,2.5,50,7:54,3.9,290,13:28
"		108",서울,2020-10-17,1.8,4.3,270,13:53,7.2,250,15:28
"		108",서울,2020-10-18,2,3.9,290,15:29,7.1,270,15:07
"		108",서울,2020-10-19,1.7,3.4,250,16:55,6,250,15:22
"		108",서울,2020-10-20,1.6,3.1,250,14:38,4.9,290,14:34
"		108",서울,2020-10-21,1.9,3.8,160,15:11,6.2,180,15:04
"		108",서울,2020-10-22,2.8,5.7,320,20:28,10.4,340,20:20
"		108",서울,2020-10-23,3,5.5,290,13:21,10,270,13:37
"		",,,,,,,,,
"		",,,,,,,,,
